video_name,uploader,views,upload_date
Baby Shark Dance,Pinkfong,10.60,"June 17, 2016"
Despacito,Luis Fonsi,7.83,"January 12, 2017"
Johny Johny Yes Papa,LooLoo Kids,6.33,"October 8, 2016"
Shape of You,Ed Sheeran,5.70,"January 30, 2017"
See You Again,Wiz Khalifa,5.49,"April 6, 2015"
Bath Song,Cocomelon – Nursery Rhymes,5.31,"May 2, 2018"
Phonics Song with Two Words,ChuChu TV,4.60,"March 6, 2014"
Uptown Funk,Mark Ronson,4.55,"November 19, 2014"
Learning Colors – Colorful Eggs on a Farm,Miroshka TV,4.56,"February 27, 2018"
Masha and the Bear – Recipe for Disaster,Get Movies,4.50,"January 31, 2012"
Gangnam Style,Psy,4.41,"July 15, 2012"
Wheels on the Bus,Cocomelon – Nursery Rhymes,4.02,"May 24, 2018"
Dame Tu Cosita,El Chombo,3.93,"April 5, 2018"
Sugar,Maroon 5,3.69,"January 14, 2015"
Roar,Katy Perry,3.57,"September 5, 2013"
Counting Stars,OneRepublic,3.56,"May 31, 2013"
Sorry,Justin Bieber,3.54,"October 22, 2015"
Thinking Out Loud,Ed Sheeran,3.44,"October 7, 2014"
Axel F,Crazy Frog,3.34,"June 16, 2009"
Girls Like You,Maroon 5,3.28,"May 31, 2018"
Faded,Alan Walker (music producer),3.27,"December 3, 2015"
Dark Horse,Katy Perry,3.26,"February 20, 2014"
Baa Baa Black Sheep,Cocomelon – Nursery Rhymes,3.23,"June 25, 2018"
Let Her Go,Passenger (singer),3.22,"July 25, 2012"
Bailando,Enrique Iglesias,3.20,"April 11, 2014"
Lean On,Major Lazer,3.20,"March 22, 2015"
Shake It Off,Taylor Swift,3.17,"August 18, 2014"
Perfect,Ed Sheeran,3.15,"November 9, 2017"
Waka Waka (This Time for Africa),Shakira,3.13,"June 4, 2010"
Mi Gente,J Balvin,3.07,"June 29, 2017"
